id_producto;id_compra;cantidad
3336;0;4
701;0;1
2658;0;8
3550;1;1
2263;1;1
2253;1;4
999;2;6
551;2;4
3511;2;3
77;3;8
1882;3;3
2494;3;6
2400;5;5
1714;5;3
1300;5;1
1381;6;8
1734;6;8
2928;6;8
2327;7;4
717;7;8
3385;7;2
36;8;1
2544;8;2
3312;8;4
206;9;7
471;9;4
3423;9;7
3123;10;6
1440;10;8
2587;10;6
3479;12;6
3119;12;5
2436;12;2
3079;13;4
3565;13;7
912;13;3
1267;14;6
2348;14;2
2575;14;5
2498;15;2
1998;15;4
2004;15;4
3515;16;8
1616;16;3
1891;16;5
3005;17;7
60;17;3
397;17;5
2959;18;6
3246;18;8
1920;19;6
2765;19;2
1855;21;8
1065;21;8
1150;22;1
2323;22;3
1609;23;3
1001;23;1
1618;24;1
2490;24;5
1634;25;6
2207;25;5
254;26;5
3635;26;2
1152;27;6
1100;27;5
3154;29;8
733;29;8
1079;30;4
3048;30;7
2308;32;8
3349;32;7
2064;33;6
730;33;7
2729;34;4
1271;34;7
1243;35;5
30;35;8
330;36;1
2104;36;2
84;38;1
2641;38;7
426;39;2
1923;39;8
3657;40;8
3268;40;8
1532;41;7
2419;41;8
88;42;1
1155;42;7
2118;43;5
1389;43;4
2223;44;7
1570;44;6
229;45;4
1674;45;1
302;46;8
808;46;6
597;47;8
3077;47;3
1674;48;7
1242;48;4
1986;49;4
3580;49;8
3027;50;8
2217;50;3
2731;51;8
711;51;4
1892;52;4
294;52;3
1858;53;4
1742;53;5
3587;55;3
3354;55;1
459;56;5
710;56;4
389;57;3
2248;57;3
1714;59;2
2676;59;3
3060;60;5
2686;60;7
2316;61;6
1233;61;7
1859;62;8
1491;62;4
2404;63;2
306;63;3
2641;64;1
425;64;1
924;65;4
1267;65;5
667;66;7
312;66;6
3460;67;7
1980;67;6
3399;68;7
2875;68;1
2503;70;4
1590;70;1
830;71;8
336;71;5
1112;72;7
617;72;3
135;73;2
2568;73;8
436;74;3
2353;74;3
3584;75;4
3477;75;8
794;76;3
2718;76;2
1005;77;3
55;77;4
528;78;6
760;78;2
3240;79;4
317;79;7
625;80;3
2065;80;2
3398;81;4
3614;81;4
940;82;5
2050;82;8
1064;83;4
1361;83;5
1415;84;8
2839;84;5
2551;85;7
1207;85;8
1096;86;7
1104;86;1
997;87;5
415;87;8
864;88;8
1191;88;2
3235;89;7
3286;89;7
1685;90;4
1993;90;1
454;91;2
856;91;3
1873;92;2
3074;92;4
1729;93;1
1641;93;2
79;94;6
2067;94;4
2180;95;2
1742;95;1
849;96;2
2226;96;2
2747;97;2
5;97;3
201;98;8
819;98;1
2215;99;2
2384;99;2
600;100;7
566;101;5
1604;102;5
3238;103;7
829;104;3
1413;105;1
1214;106;6
127;107;1
2220;108;1
2014;109;1
936;110;7
3210;111;1
960;112;8
1008;113;4
857;114;5
3573;116;1
3218;117;8
1410;118;1
2396;119;8
953;120;7
3293;121;5
3053;122;1
506;123;2
594;124;4
3002;125;7
2098;126;5
2859;127;2
3082;128;5
3282;129;2
2705;130;1
1819;131;2
2534;132;5
3170;133;7
2598;134;1
1023;135;1
3249;136;7
485;137;2
454;138;3
2560;139;7
2613;140;2
1626;141;4
3316;142;2
3266;144;8
2455;145;2
1484;147;8
503;148;8
2948;149;6
847;151;6
3064;152;2
92;153;5
3107;155;8
757;156;1
240;157;7
3557;158;6
3408;159;3
3554;161;6
2242;162;2
220;163;3
1591;164;2
1320;166;8
1095;167;4
1623;168;8
1971;169;1
333;170;6
1115;171;5
2732;172;4
3037;173;6
1033;174;3
2688;175;6
3010;176;1
2289;177;3
2;178;5
230;179;5
3620;180;6
624;181;8
2093;183;2
2326;184;2
3132;185;7
2996;186;5
195;187;3
2205;188;1
2022;189;6
1954;190;7
1854;191;1
2674;192;1
2962;193;7
2187;194;6
501;195;4
2604;196;6
3211;197;2
2740;199;6
1441;200;6
1813;201;3
1376;202;5
1601;203;2
2560;204;3
300;205;7
1128;206;6
1968;207;6
2145;208;6
1431;209;2
2418;210;2
1239;211;2
1646;212;5
1345;213;3
788;214;6
1712;215;3
463;216;6
1197;217;4
1657;218;5
374;219;6
2209;220;7
2415;221;5
105;222;1
3044;223;3
845;224;8
184;225;7
817;226;1
3406;227;7
3102;229;5
221;230;4
940;231;7
2866;232;4
3140;233;2
1101;234;4
3124;235;7
2070;236;5
3570;237;6
2762;238;5
2962;239;2
1581;240;6
3388;242;8
3095;243;3
102;244;3
1830;245;7
338;246;6
3242;247;2
3599;248;5
3266;249;4
715;250;3
393;251;5
3101;252;7
1010;253;6
1710;254;5
2379;255;4
2976;257;4
2540;258;7
1360;259;5
2922;260;6
910;261;2
237;262;3
1470;263;7
2393;264;4
146;265;2
1818;266;3
2453;267;6
1816;268;8
272;269;8
1599;270;4
2590;271;7
629;272;2
1830;273;1
1014;274;3
1558;275;2
3206;276;4
2560;277;4
3123;278;6
2180;279;8
2428;280;3
2596;281;8
2084;282;3
2386;284;2
2059;285;7
1168;286;6
3640;287;7
1426;288;2
495;290;1
770;291;2
1312;292;3
2752;293;4
847;294;6
2599;295;1
2269;296;4
316;297;2
2849;298;3
2656;299;4
2560;300;5
729;301;2
697;302;3
407;303;7
3062;304;5
1196;305;3
109;306;8
264;307;1
2905;308;3
1063;309;5
373;312;7
487;313;8
1114;314;1
590;315;3
1899;316;2
1906;317;5
904;318;6
2925;320;1
831;321;5
3667;322;1
2150;324;3
1756;325;1
780;326;7
2313;327;6
3027;328;6
2980;330;1
91;331;1
3365;332;5
2915;333;1
393;334;4
2562;335;1
3602;337;7
623;338;8
2931;339;7
3471;340;5
1596;342;1
642;343;4
2059;344;7
279;345;3
1914;346;5
3482;347;3
1321;348;8
4;350;2
559;351;1
1582;352;6
131;354;1
2633;355;6
1701;356;3
2895;357;3
2973;359;2
2979;360;7
1276;361;1
2502;362;2
434;363;2
1602;364;5
2642;365;4
843;366;1
269;367;8
2835;368;2
1989;369;1
17;370;2
305;371;7
743;372;1
651;373;5
852;374;7
219;375;8
2910;376;2
470;377;7
3040;378;4
3039;379;1
3597;380;1
2102;383;5
609;384;3
1843;385;8
3401;386;7
622;388;6
708;389;6
3644;390;8
1125;391;3
2243;392;5
913;393;2
1332;394;4
1879;395;6
1903;396;8
72;397;8
527;398;7
3314;399;8
1744;400;1
3120;401;6
134;402;2
156;403;6
887;404;3
360;405;1
3636;406;7
2252;407;1
2917;408;3
1264;409;6
3201;410;7
3618;411;7
2667;412;5
1708;413;5
2223;414;7
604;415;1
574;417;2
2171;418;8
684;419;1
2859;420;4
996;421;7
592;422;7
3633;423;1
2237;424;2
2933;425;7
3536;426;2
2279;427;5
2285;428;4
3227;429;6
1526;430;5
2133;431;6
2923;432;6
2214;433;3
1656;434;5
3423;435;2
1051;436;4
626;437;4
2666;438;6
486;439;6
2358;440;3
205;441;7
190;442;7
156;443;4
836;444;8
3170;445;3
136;446;2
498;447;6
3239;449;2
2683;450;8
2532;451;1
3407;452;1
496;453;4
2725;455;1
3214;456;8
2255;457;2
1415;459;1
138;460;5
2776;461;2
3232;462;4
1666;463;4
999;465;5
3249;466;5
401;467;4
472;468;2
553;469;6
3516;470;4
23;471;1
1616;472;6
285;473;5
2267;474;3
1284;475;8
2540;476;5
3075;477;5
3446;479;1
1315;480;2
52;481;8
3642;482;8
222;483;2
973;485;5
548;486;5
3572;487;1
3540;488;5
3158;489;7
3552;490;3
157;492;3
3405;493;6
1108;494;8
3163;495;6
346;496;5
3676;498;3
3557;499;8
2112;500;3
3695;501;2
3700;504;6
3718;505;8
3723;506;6
3694;507;6
3722;508;8
3725;509;4
3699;510;1
3726;511;8
3696;511;5
3727;512;3
3701;513;2
3696;514;5
3707;514;2
3694;515;3
3716;516;2
3706;517;2
3704;518;6
3723;519;6
3711;520;1
3704;520;4
