id_paquete;peso;descripcion
1;1.7;Sin descripcion
2;4.8;Sin descripcion
3;1.0;Sin descripcion
4;1.6;Fragil
5;1.0;Sin descripcion
6;6.9;Sin descripcion
7;1.8;Fragil
8;6.0;Fragil
9;1.5;Fragil
10;6.6;Fragil
11;7.6;Fragil
12;10.5;Fragil
13;6.3;Fragil
14;5.7;Fragil
15;10.0;Fragil
16;5.4;Fragil
17;7.8;Fragil
18;8.9;Fragil
19;2.5;Sin descripcion
20;4.1;Sin descripcion
21;2.4;Fragil
22;6.7;Fragil
23;4.7;Fragil
24;9.7;Sin descripcion
25;1.4;Fragil
26;1.7;Sin descripcion
27;3.6;Sin descripcion
28;2.0;Fragil
29;9.9;Sin descripcion
30;1.3;Sin descripcion
31;4.9;Sin descripcion
32;8.1;Sin descripcion
33;7.9;Sin descripcion
34;2.4;Sin descripcion
35;4.1;Sin descripcion
36;2.9;Fragil
37;5.8;Sin descripcion
38;10.9;Sin descripcion
39;5.8;Sin descripcion
40;10.9;Sin descripcion
41;8.8;Sin descripcion
42;2.6;Fragil
43;7.1;Fragil
44;3.7;Fragil
45;8.1;Fragil
46;6.1;Fragil
47;5.1;Sin descripcion
48;9.0;Sin descripcion
49;3.0;Sin descripcion
50;7.0;Sin descripcion
51;6.6;Fragil
52;1.1;Sin descripcion
53;9.2;Sin descripcion
54;3.0;Fragil
55;3.9;Sin descripcion
56;1.0;Fragil
57;3.5;Sin descripcion
58;6.3;Sin descripcion
59;9.9;Sin descripcion
60;4.5;Sin descripcion
61;3.3;Sin descripcion
62;4.9;Fragil
63;6.1;Fragil
64;1.4;Fragil
65;1.7;Fragil
66;9.0;Fragil
67;3.1;Fragil
68;9.2;Fragil
69;9.4;Fragil
70;7.8;Fragil
71;6.2;Fragil
72;1.6;Fragil
73;10.7;Sin descripcion
74;9.6;Fragil
75;5.6;Fragil
76;4.6;Fragil
77;4.7;Fragil
78;6.9;Fragil
79;2.8;Fragil
80;7.7;Fragil
81;3.1;Sin descripcion
82;8.5;Sin descripcion
83;2.0;Fragil
84;1.6;Fragil
85;8.7;Sin descripcion
86;1.6;Fragil
87;1.2;Sin descripcion
88;7.7;Sin descripcion
89;6.3;Fragil
90;3.3;Fragil
91;1.2;Fragil
92;10.1;Fragil
93;8.4;Sin descripcion
94;6.9;Sin descripcion
95;3.0;Fragil
96;9.9;Sin descripcion
97;7.8;Sin descripcion
98;7.1;Sin descripcion
99;1.5;Sin descripcion
100;1.8;Sin descripcion
101;7.7;Fragil
102;4.0;Sin descripcion
103;7.9;Sin descripcion
104;1.4;Sin descripcion
105;2.1;Sin descripcion
106;8.6;Fragil
107;2.3;Sin descripcion
108;3.3;Sin descripcion
109;2.0;Fragil
110;10.9;Fragil
111;6.8;Fragil
112;6.2;Sin descripcion
113;10.5;Sin descripcion
114;5.0;Sin descripcion
115;2.1;Fragil
116;5.9;Sin descripcion
117;6.2;Sin descripcion
118;7.9;Sin descripcion
119;6.9;Sin descripcion
120;5.1;Sin descripcion
121;4.4;Fragil
122;10.5;Sin descripcion
123;1.2;Sin descripcion
124;8.4;Fragil
125;5.5;Sin descripcion
126;5.8;Sin descripcion
127;4.1;Sin descripcion
128;2.4;Sin descripcion
129;8.0;Fragil
130;6.7;Fragil
131;9.9;Sin descripcion
132;6.8;Sin descripcion
133;1.7;Sin descripcion
134;5.0;Fragil
135;10.0;Fragil
136;1.4;Sin descripcion
137;2.6;Sin descripcion
138;5.9;Fragil
139;10.5;Fragil
140;9.7;Fragil
141;4.7;Sin descripcion
142;6.7;Sin descripcion
143;7.9;Fragil
144;3.6;Sin descripcion
145;10.0;Fragil
146;1.8;Fragil
147;3.1;Sin descripcion
148;5.3;Fragil
149;10.6;Fragil
150;4.5;Fragil
151;9.6;Fragil
152;1.3;Sin descripcion
153;1.5;Fragil
154;2.1;Sin descripcion
155;10.2;Fragil
156;3.2;Sin descripcion
157;2.9;Sin descripcion
158;1.0;Fragil
159;4.0;Sin descripcion
160;8.5;Sin descripcion
161;6.5;Fragil
162;3.1;Sin descripcion
163;7.3;Sin descripcion
164;1.7;Fragil
165;8.4;Fragil
166;7.6;Sin descripcion
167;8.7;Fragil
168;8.1;Fragil
169;6.4;Sin descripcion
170;8.8;Sin descripcion
171;5.5;Sin descripcion
172;1.1;Sin descripcion
173;7.2;Fragil
174;1.6;Fragil
175;6.1;Fragil
176;2.7;Fragil
177;8.0;Fragil
178;7.9;Sin descripcion
179;10.1;Fragil
180;4.0;Sin descripcion
181;6.4;Fragil
182;7.6;Fragil
183;9.7;Fragil
184;1.4;Fragil
185;5.0;Fragil
186;9.5;Fragil
187;6.9;Sin descripcion
188;6.1;Fragil
189;2.1;Fragil
190;6.3;Sin descripcion
191;4.4;Sin descripcion
192;8.8;Fragil
193;3.0;Sin descripcion
194;10.3;Fragil
195;10.3;Fragil
196;8.0;Sin descripcion
197;5.5;Sin descripcion
198;1.4;Sin descripcion
199;5.5;Fragil
200;9.8;Sin descripcion
201;3.7;Fragil
202;7.3;Fragil
203;3.1;Sin descripcion
204;4.5;Fragil
205;10.6;Fragil
206;5.6;Fragil
207;2.4;Fragil
208;4.1;Sin descripcion
209;6.0;Fragil
210;10.4;Fragil
211;5.6;Fragil
212;10.9;Fragil
213;10.8;Fragil
214;9.3;Fragil
215;4.4;Fragil
216;8.2;Fragil
217;6.2;Sin descripcion
218;8.9;Fragil
219;10.7;Fragil
220;6.6;Sin descripcion
221;2.3;Fragil
222;8.8;Sin descripcion
223;6.6;Fragil
224;5.2;Fragil
225;5.9;Sin descripcion
226;1.0;Sin descripcion
227;9.6;Fragil
228;4.4;Fragil
229;1.4;Sin descripcion
230;5.4;Fragil
231;9.5;Fragil
232;6.3;Fragil
233;9.0;Fragil
234;10.0;Sin descripcion
235;5.2;Fragil
236;3.1;Fragil
237;2.5;Sin descripcion
238;4.9;Fragil
239;6.4;Sin descripcion
240;2.5;Fragil
241;9.8;Fragil
242;4.4;Sin descripcion
243;3.5;Sin descripcion
244;3.9;Fragil
245;8.2;Sin descripcion
246;3.8;Fragil
247;3.0;Sin descripcion
248;7.3;Fragil
249;3.9;Fragil
250;10.2;Sin descripcion
251;7.3;Sin descripcion
252;4.0;Sin descripcion
253;3.4;Fragil
254;3.6;Sin descripcion
255;2.0;Sin descripcion
256;8.5;Fragil
257;4.5;Sin descripcion
258;6.8;Fragil
259;1.5;Sin descripcion
260;8.9;Sin descripcion
261;1.7;Sin descripcion
262;9.6;Fragil
263;3.3;Fragil
264;4.0;Fragil
265;1.4;Fragil
266;7.4;Fragil
267;8.2;Fragil
268;2.0;Sin descripcion
269;5.2;Sin descripcion
270;5.4;Sin descripcion
271;8.0;Sin descripcion
272;7.1;Sin descripcion
273;4.6;Sin descripcion
274;8.1;Sin descripcion
275;10.9;Fragil
276;5.9;Fragil
277;8.8;Sin descripcion
278;3.6;Fragil
279;7.2;Fragil
280;9.0;Sin descripcion
281;7.3;Sin descripcion
282;4.1;Sin descripcion
283;9.3;Sin descripcion
284;1.3;Fragil
285;5.0;Sin descripcion
286;2.2;Fragil
287;1.0;Fragil
288;7.3;Fragil
289;10.7;Fragil
290;4.6;Sin descripcion
291;1.6;Fragil
292;2.8;Sin descripcion
293;6.4;Sin descripcion
294;3.8;Sin descripcion
295;9.0;Sin descripcion
296;4.8;Fragil
297;1.7;Fragil
298;7.5;Sin descripcion
299;3.9;Sin descripcion
300;6.3;Sin descripcion
301;3.2;Sin descripcion
