comuna;region;id_ubicacion
Aaronbury;Vermont;314
Aaronstad;Colorado;42
Aarontown;Rhode Island;52
Acevedohaven;Missouri;799
Adamfurt;Minnesota;739
Adamsland;Pennsylvania;820
Adamtown;Colorado;233
Adkinsfort;Arkansas;520
Adkinshaven;Utah;430
Alanstad;New York;581
Aliciabury;Colorado;849
Allenberg;Maine;480
Allenland;Hawaii;753
Alvarezfort;South Dakota;73
Alvarezfort;Minnesota;155
Alvarezshire;Nebraska;868
Amandashire;Vermont;384
Amyland;Rhode Island;756
Amyshire;Arkansas;28
Amyview;Texas;226
Andersonbury;New Jersey;467
Andersonview;North Dakota;914
Andreastad;New Jersey;283
Andrewbury;Texas;288
Angelachester;New Mexico;510
Angelaton;Idaho;303
Annamouth;Idaho;751
Annaport;California;442
Annebury;Colorado;725
Annetteberg;Wyoming;262
Anthonyside;Mississippi;132
Anthonyton;Illinois;878
Anthonytown;Alabama;902
Aprilfurt;Montana;874
Armstrongstad;Michigan;776
Ashleyport;North Dakota;659
Baileyville;Maryland;238
Ballmouth;Washington;209
Ballview;Wyoming;346
Barrettfort;Nevada;674
Bartonbury;Wisconsin;393
Batesview;Massachusetts;777
Beasleybury;Oregon;556
Beckerberg;West Virginia;806
Beckhaven;Nevada;202
Bellmouth;Indiana;452
Bellstad;Wisconsin;729
Bellton;New Hampshire;610
Bellville;South Dakota;762
Benjaminfurt;Georgia;688
Bennettmouth;Maryland;66
Bennettstad;Alabama;785
Bethanyview;Massachusetts;918
Bethhaven;South Carolina;431
Blakebury;Texas;629
Blakefort;Connecticut;154
Bradfordtown;Minnesota;246
Bradleyhaven;Maine;694
Bradleyland;Connecticut;847
Brandonshire;Pennsylvania;62
Brandontown;Rhode Island;660
Brandymouth;Virginia;374
Brayland;Alabama;790
Brennanfort;Utah;883
Brianside;California;582
Brittanyfort;Virginia;92
Brittanyport;New Hampshire;551
Brittneyborough;Maryland;542
Brooketon;New York;797
Brooksbury;South Dakota;49
Browningmouth;Connecticut;727
Brownview;Colorado;15
Butlerhaven;Georgia;408
Butlermouth;Wyoming;50
Calderonville;Maryland;286
Calvinton;California;296
Cameronmouth;Tennessee;529
Cameronside;Mississippi;884
Camposberg;Colorado;885
Cardenasfurt;Idaho;478
Carlsonstad;South Dakota;499
Carlville;Connecticut;193
Carmenville;Indiana;196
Carrollchester;Wyoming;236
Cartertown;New Hampshire;858
Caseyside;Wyoming;971
Castillochester;New Hampshire;642
Chadfort;Missouri;199
Chandlerbury;Maryland;927
Charlesfurt;Illinois;833
Charlesside;Kentucky;278
Chelseaville;Oklahoma;406
Cherylmouth;Hawaii;503
Christopherview;Wyoming;547
Christopherville;Ohio;507
Clarkbury;Iowa;111
Clarkshire;Arkansas;141
Clarktown;Minnesota;622
Clementsfort;New York;294
Clineburgh;Nevada;732
Clineview;North Dakota;323
Colemanville;Minnesota;36
Coltonmouth;Maryland;946
