id_region;nombre
9;Alabama
6;Alaska
50;Arizona
22;Arkansas
33;California
13;Colorado
8;Connecticut
40;Delaware
25;Florida
23;Georgia
28;Hawaii
16;Idaho
3;Illinois
35;Indiana
27;Iowa
18;Kansas
45;Kentucky
20;Louisiana
32;Maine
38;Maryland
21;Massachusetts
14;Michigan
26;Minnesota
5;Mississippi
49;Missouri
11;Montana
47;Nebraska
46;Nevada
43;New Hampshire
37;New Jersey
1;New Mexico
48;New York
7;North Carolina
24;North Dakota
4;Ohio
10;Oklahoma
12;Oregon
36;Pennsylvania
30;Rhode Island
34;South Carolina
29;South Dakota
2;Tennessee
42;Texas
17;Utah
39;Vermont
44;Virginia
31;Washington
19;West Virginia
41;Wisconsin
15;Wyoming
